TYPE,AREA,CAR_NAME,CLASS,LAP TIME,LINK
Weekly Competition,Eternal City,TVR GRIFFITH,D,1:09.125,https://youtu.be/J47tw_n18VI?si=82k65KEyzwBHlsv0&t=7
Weekly Competition,Eternal City,MAZDA FURAI,D,1:10.923,https://youtu.be/YELB4ilzfkc?t=9
Weekly Competition,Eternal City,CHEVROLET CORVETTE C7.R,D,1:11.447,https://youtu.be/MzLmRTGTAUU?t=15
Weekly Competition,Eternal City,GLICKENHAUS 004C,D,1:11.570,https://youtu.be/uAa_t4zwOs8?si=rHan6pQUXwVQskab&t=8
Weekly Competition,Eternal City,LAMBORGHINI HURACAN SUPER TROFEO EVO,D,1:11.626,https://youtu.be/UugaHui5Ku0?t=5
Weekly Competition,Eternal City,DODGE CHALLENGER 392 HEMI SCAT-PACK,D,1:12.953,https://youtu.be/CE81VubTfC8?t=7
Weekly Competition,Eternal City,LOTUS ELISE SPRINT 220,D,1:14.999,https://youtu.be/AUPzjhllJV8?t=19
Weekly Competition,Fire & Ice,TVR GRIFFITH,D,1:24.796,https://youtu.be/HK2Q3s5LVkA?si=8_Ayy2e6JhA_ERu6
Weekly Competition,Fire & Ice,GLICKENHAUS 004C,D,1:25.721,https://youtu.be/SzVCnT15XP0?t=23
Weekly Competition,Fire & Ice,LOTUS ELISE SPRINT 220,D,1:30.002,https://youtu.be/mkhNNlKG670?si=TLlm8p8pPg-w3Ppw&t=15
Weekly Competition,Football & Politics,VOLKSWAGEN ELECTRIC R,D,0:46.137,https://youtu.be/PTwDS1OrgdA
Weekly Competition,Football & Politics,CHEVROLET CORVETTE C7.R,D,0:47.471,https://youtu.be/KvlrF31TXTk?t=17
Weekly Competition,Football & Politics,PORSCHE TAYCAN TURBO S,D,0:47.824,https://youtu.be/HOoBGPrOsqA?t=17
Weekly Competition,Football & Politics,BENTLEY CONTINENTAL GT3,D,0:47.868,https://youtu.be/YRxatstjUYY?t=5
Weekly Competition,Football & Politics,LOTUS ELISE SPRINT 220,D,0:48.371,https://youtu.be/sQwol_UPTMY?t=5
Weekly Competition,industrial Revolution,VOLKSWAGEN ELECTRIC R,D,1:12.939,https://youtu.be/bHk0qi6hxDs?t=9
Weekly Competition,industrial Revolution,CHEVROLET CORVETTE C7.R,D,1:13.044,https://youtu.be/vrxOu-wCdnE?t=11
Weekly Competition,industrial Revolution,GLICKENHAUS 004C,D,1:13.235,https://youtu.be/fpHOswHaxoI?t=9
Weekly Competition,industrial Revolution,LAMBORGHINI HURACAN SUPER TROFEO EVO,D,1:13.550,https://youtu.be/ic_-winQx1s?t=11
Weekly Competition,industrial Revolution,MAZDA FURAI,D,1:13.657,https://youtu.be/rJ-PouzpSLQ?t=8
Weekly Competition,industrial Revolution,TVR GRIFFITH,D,1:13.693,https://youtu.be/lI8ceB3YfXg?t=11
Weekly Competition,industrial Revolution,LOTUS ELISE SPRINT 220,D,1:15.896,https://youtu.be/eYoCLVDvDLU?t=9
Weekly Competition,Pudong Rise,TVR GRIFFITH,D,1:15.290,https://youtu.be/en27LPJw_Mk
Weekly Competition,Pudong Rise,GLICKENHAUS 004C,D,1:16.667,https://youtu.be/erYnm9kPn0Q?t=6
Weekly Competition,Pudong Rise,LOTUS ELISE SPRINT 220,D,1:20.614,https://youtu.be/iRby1m7y5Vs?si=FJKFefgCzzPMGBze&t=17
Weekly Competition,Thousand Minarets,TVR GRIFFITH,D,1:20.017,https://youtu.be/WLb782Ot9BY?si=TDk4Z3P-OxnL3Wlr&t=3
Weekly Competition,Thousand Minarets,GLICKENHAUS 004C,D,1:21.738,https://youtu.be/UGku90ucfwM?si=nbt6NCr6gQ_cCemN&t=6
Weekly Competition,Thousand Minarets,MAZDA FURAI,D,1:22.113,https://youtu.be/3KxWohT7Qgc?t=14
Weekly Competition,Thousand Minarets,FORD MUSTANG MACH-E1400,D,1:22.274,https://youtu.be/_XlurYjiZoU?si=jnM1jYvlL69yUasY&t=10
Weekly Competition,Thousand Minarets,CHEVROLET CORVETTE C7.R,D,1:23.093,https://youtu.be/1nr6kJXwSs8?si=stxTF4Uw2p3b_gOb&t=14
Weekly Competition,Thousand Minarets,DODGE CHALLENGER 392 HEMI SCAT-PACK,D,1:23.177,https://youtu.be/3KxWohT7Qgc?t=14
Weekly Competition,Uptown,GLICKENHAUS 004C,D,1:14.153,https://youtu.be/RP2wFHmk1XI?t=24
Weekly Competition,Uptown,VOLKSWAGEN ELECTRIC R,D,1:14.227,https://youtu.be/1ZsTiRKzfBY?t=21
Weekly Competition,Uptown,LAMBORGHINI HURACAN SUPER TROFEO EVO,D,1:14.548,https://youtu.be/X5SqMyTtiGg?t=19
Weekly Competition,Uptown,BENTLEY CONTINENTAL GT3,D,1:14.925,https://youtu.be/NhYL4craPYI?t=7
Weekly Competition,Uptown,MAZDA FURAI,D,1:15.008,https://youtu.be/zj9dY2b6440?t=28
Weekly Competition,Uptown,LOTUS ELISE SPRINT 220,D,1:17.441,https://youtu.be/AKV8vlZHfIA?t=10
